,Unnamed: 0,recording_id,type_id,timestamp,player_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,flags,speed,vehicle,recording_id.1,session_id,timestamp.1
15475,15475,3495652,7,1510692777845,1725,104202.03125,54756.6875,-4656.44140625,-1.0,1.9073486328125e-06,0.0,1.0,,,3495652,37577755,1510692777845
131257,131257,3495641,7,1510692777845,1721,104302.03125,54656.6875,-4677.7001953125,-1.0,1.9073486328125e-06,0.0,1.0,,,3495641,37577755,1510692777845
470825,470825,3495653,7,1510692777845,1738,-100114.1328125,-6087.4794921875,3378.58935546875,0.666048347949982,-0.745908498764038,0.0,0.0,,,3495653,37577755,1510692777845
362764,362764,3495649,7,1510692777845,1736,103942.2265625,54506.6875,-4609.94580078125,-1.0,1.9073486328125e-06,0.0,1.0,,,3495649,37577755,1510692777845
131258,131258,3495641,7,1510692778065,1721,104301.984375,54656.69140625,-4686.97119140625,-1.0,0.0,0.0,1.0,0.00021380672192457901,,3495641,37577755,1510692777845
470826,470826,3495653,7,1510692778065,1738,-100114.1328125,-6087.4794921875,3378.58935546875,0.6660706996917719,-0.745888590812683,0.0,0.0,0.0,,3495653,37577755,1510692777845
15476,15476,3495652,7,1510692778065,1725,104201.984375,54756.69140625,-4664.1640625,-1.0,0.0,0.0,1.0,0.00021380672192457901,,3495652,37577755,1510692777845
362765,362765,3495649,7,1510692778065,1736,103942.1796875,54506.69140625,-4610.42041015625,-0.9999975562095641,-0.0022048931568861,0.0,1.0,0.00021380672192457901,,3495649,37577755,1510692777845
831773,831773,3495651,7,1510692778244,1732,-95615.765625,-2045.4052734375,3411.40112304688,0.16471010446548498,-0.986342012882233,0.0,0.0,,,3495651,37577755,1510692778244
15477,15477,3495652,7,1510692778285,1725,104201.984375,54756.69140625,-4708.84716796875,-1.0,0.0,0.0,1.0,0.0,,3495652,37577755,1510692777845
131259,131259,3495641,7,1510692778285,1721,104301.984375,54656.69140625,-4732.62646484375,-1.0,0.0,0.0,1.0,0.0,,3495641,37577755,1510692777845
